PBimpl (PNeg (PAtom (AKind Dodec (IVar (VString "a"))))) (PAtom (AKind Pet (IVar (VString "b"))));a is not a dodecahedron precisely when b is a pet;WB;11
PBimpl (PImpl (PBimpl (PAtom (AKind Student (IVar (VString "a")))) (PAtom (AKind Prime (IVar (VString "a"))))) (PBimpl (PAtom (AKind Prime (IVar (VString "a")))) (PAtom (AKind Tet (IVar (VString "a")))))) (PConj CAnd (PNeg (PAtom (AKind Pet (IVar (VString "b"))))) (PNeg (PAtom (AKind Tet (IVar (VString "b"))))));if a is a student precisely when a is a prime , then a is a prime precisely when a is a tetrahedron precisely when b is not a pet and b is not a tetrahedron;NWB;35

PConj COr (PAtom (AKind Prime (IVar (VString "a")))) (PBimpl (PBimpl (PAtom (AKind Cube (IVar (VString "a")))) (PAtom (AKind Pet (IVar (VString "b"))))) (PImpl (PAtom (AKind Prime (IVar (VString "c")))) (PAtom (AKind Dodec (IVar (VString "a"))))));at least one of these holds : \item a is a prime \item a is a cube precisely when b is a pet precisely when if c is a prime , then a is a dodecahedron;NWB;32

PImpl (PNeg (PBimpl (PAtom (AKind Person (IVar (VString "a")))) (PAtom (AKind Prime (IVar (VString "b")))))) (PConj COr (PAtom (AKind Prime (IVar (VString "b")))) (PNeg (PAtom (AKind Prime (IVar (VString "a"))))));b is a prime or a is not a prime unless a is a person precisely when b is a prime;WB;21

PConj CAnd (PConj CAnd (PAtom (AKind Pet (IVar (VString "a")))) (PNeg (PAtom (AKind Tet (IVar (VString "a")))))) (PNeg (PBimpl (PAtom (AKind Prime (IVar (VString "a")))) (PAtom (AKind Student (IVar (VString "b"))))));all these hold : \item a is a pet , a is not a tetrahedron \item either a is a prime or b is a student ( but not both );WB;25

PBimpl (PAtom (AKind Cube (IVar (VString "a")))) (PImpl (PBimpl (PAtom (AKind Dodec (IVar (VString "a")))) (PAtom (AKind Prime (IVar (VString "b"))))) (PAtom (AKind Tet (IVar (VString "b")))));a is a cube precisely when if a is a dodecahedron precisely when b is a prime , then b is a tetrahedron;NWB;22

PBimpl (PAtom (AKind Prime (IVar (VString "a")))) (PBimpl (PImpl (PAtom (AKind Person (IVar (VString "b")))) (PAtom (AKind Pet (IVar (VString "a"))))) (PNeg (PAtom (AKind Pet (IVar (VString "c"))))));a is a prime precisely when if b is a person , then a is a pet precisely when c is not a pet;NWB;23

PBimpl (PNeg (PAtom (AKind Cube (IVar (VString "a"))))) (PImpl (PNeg (PAtom (AKind Tet (IVar (VString "a"))))) (PNeg (PBimpl (PAtom (AKind Cube (IVar (VString "a")))) (PAtom (AKind Dodec (IVar (VString "b")))))));a is not a cube precisely when a is a cube precisely when b is a dodecahedron only if a is a tetrahedron;NWB;23

PImpl (PBimpl (PAtom (AKind Tet (IVar (VString "a")))) (PAtom (AKind Person (IVar (VString "a"))))) (PImpl (PBimpl (PAtom (AKind Pet (IVar (VString "b")))) (PAtom (AKind Cube (IVar (VString "c"))))) (PAtom (AKind Tet (IVar (VString "c")))));if a is a tetrahedron precisely when a is a person , then if b is a pet precisely when c is a cube , then c is a tetrahedron;NWB;28

PBimpl (PImpl (PConj COr (PAtom (AKind Dodec (IVar (VString "a")))) (PAtom (AKind Dodec (IVar (VString "b"))))) (PAtom (AKind Dodec (IVar (VString "a"))))) (PAtom (AKind Pet (IVar (VString "b"))));if a is a dodecahedron or b is a dodecahedron , then a is a dodecahedron precisely when b is a pet;WB;21

PImpl (PConj CAnd (PImpl (PAtom (AKind Person (IVar (VString "a")))) (PAtom (AKind Student (IVar (VString "b"))))) (PConj CAnd (PAtom (AKind Student (IVar (VString "c")))) (PAtom (AKind Tet (IVar (VString "d")))))) (PAtom (AKind Cube (IVar (VString "d"))));if all these hold : \item if a is a person , then b is a student , c is a student \item d is a tetrahedron , then d is a cube;NWB;27

PImpl (PAtom (AKind Cube (IVar (VString "a")))) (PBimpl (PAtom (AKind Student (IVar (VString "b")))) (PAtom (AKind Prime (IVar (VString "c")))));if a is a cube , then b is a student precisely when c is a prime;WB;16

PImpl (PImpl (PAtom (AKind Cube (IVar (VString "a")))) (PAtom (AKind Pet (IVar (VString "b"))))) (PNeg (PBimpl (PAtom (AKind Cube (IVar (VString "b")))) (PAtom (AKind Person (IVar (VString "b"))))));if if a is a cube , then b is a pet , then either b is a cube or b is a person ( but not both );NWB;25

PConj CAnd (PConj CAnd (PNeg (PAtom (AKind Prime (IVar (VString "a"))))) (PNeg (PAtom (AKind Person (IVar (VString "a")))))) (PConj CAnd (PNeg (PAtom (AKind Student (IVar (VString "b"))))) (PNeg (PAtom (AKind Prime (IVar (VString "b"))))));a is not a prime , a is not a person , b is not a student and b is not a prime;WB;21

PConj COr (PBimpl (PBimpl (PAtom (AKind Pet (IVar (VString "a")))) (PAtom (AKind Person (IVar (VString "a"))))) (PBimpl (PAtom (AKind Cube (IVar (VString "b")))) (PAtom (AKind Tet (IVar (VString "b")))))) (PAtom (AKind Tet (IVar (VString "a"))));at least one of these holds : \item a is a pet precisely when a is a person precisely when b is a cube precisely when b is a tetrahedron \item a is a tetrahedron;NWB;32

PBimpl (PImpl (PAtom (AKind Prime (IVar (VString "a")))) (PBimpl (PAtom (AKind Person (IVar (VString "a")))) (PAtom (AKind Cube (IVar (VString "b")))))) (PAtom (AKind Tet (IVar (VString "c"))));if a is a prime , then a is a person precisely when b is a cube precisely when c is a tetrahedron;NWB;22

PImpl (PBimpl (PAtom (AKind Person (IVar (VString "a")))) (PBimpl (PAtom (AKind Prime (IVar (VString "a")))) (PAtom (AKind Dodec (IVar (VString "b")))))) (PConj COr (PAtom (AKind Student (IVar (VString "c")))) (PNeg (PAtom (AKind Cube (IVar (VString "a"))))));if a is a person precisely when a is a prime precisely when b is a dodecahedron , then c is a student or a is not a cube;NWB;28

PConj COr (PBimpl (PBimpl (PAtom (AKind Pet (IVar (VString "a")))) (PAtom (AKind Student (IVar (VString "a"))))) (PNeg (PAtom (AKind Cube (IVar (VString "a")))))) (PBimpl (PNeg (PAtom (AKind Dodec (IVar (VString "a"))))) (PBimpl (PAtom (AKind Pet (IVar (VString "a")))) (PAtom (AKind Student (IVar (VString "b"))))));at least one of these holds : \item a is a pet precisely when a is a student precisely when a is not a cube \item a is not a dodecahedron precisely when a is a pet precisely when b is a student;NWB;40

PNeg (PImpl (PNeg (PAtom (AKind Person (IVar (VString "a"))))) (PBimpl (PAtom (AKind Tet (IVar (VString "b")))) (PAtom (AKind Prime (IVar (VString "c"))))));it is not the case that b is a tetrahedron precisely when c is a prime unless a is a person;NWB;21

PBimpl (PAtom (AKind Pet (IVar (VString "a")))) (PAtom (AKind Pet (IVar (VString "b"))));a is a pet precisely when b is a pet;WB;10

PImpl (PNeg (PImpl (PAtom (AKind Tet (IVar (VString "a")))) (PAtom (AKind Person (IVar (VString "a")))))) (PImpl (PImpl (PAtom (AKind Cube (IVar (VString "b")))) (PAtom (AKind Dodec (IVar (VString "c"))))) (PBimpl (PAtom (AKind Dodec (IVar (VString "d")))) (PAtom (AKind Dodec (IVar (VString "b"))))));if if b is a cube , then c is a dodecahedron , then d is a dodecahedron precisely when b is a dodecahedron unless if a is a tetrahedron , then a is a person;NWB;33

PConj CAnd (PConj CAnd (PAtom (AKind Cube (IVar (VString "a")))) (PAtom (AKind Pet (IVar (VString "a"))))) (PConj CAnd (PAtom (AKind Prime (IVar (VString "a")))) (PNeg (PAtom (AKind Person (IVar (VString "a"))))));a is a cube , a is a pet , a is a prime and a is not a person;WB;18

PBimpl (PImpl (PConj CAnd (PNeg (PAtom (AKind Tet (IVar (VString "a"))))) (PAtom (AKind Tet (IVar (VString "c"))))) (PBimpl (PAtom (AKind Prime (IVar (VString "a")))) (PAtom (AKind Dodec (IVar (VString "b")))))) (PAtom (AKind Dodec (IVar (VString "a"))));if a is not a tetrahedron and c is a tetrahedron , then a is a prime precisely when b is a dodecahedron precisely when a is a dodecahedron;NWB;28

PNeg (PNeg (PAtom (AKind Dodec (IVar (VString "b")))));it is not the case that b is not a dodecahedron;NWB;11

PConj CAnd (PConj CAnd (PAtom (AKind Pet (IVar (VString "b")))) (PNeg (PAtom (AKind Tet (IVar (VString "c")))))) (PImpl (PImpl (PAtom (AKind Student (IVar (VString "a")))) (PAtom (AKind Pet (IVar (VString "a"))))) (PAtom (AKind Student (IVar (VString "a")))));all these hold : \item b is a pet , c is not a tetrahedron \item if if a is a student , then a is a pet , then a is a student;NWB;28

PConj CAnd (PImpl (PAtom (AKind Prime (IVar (VString "a")))) (PAtom (AKind Pet (IVar (VString "a"))))) (PNeg (PBimpl (PAtom (AKind Dodec (IVar (VString "b")))) (PAtom (AKind Tet (IVar (VString "b"))))));all these hold : \item if a is a prime , then a is a pet \item either b is a dodecahedron or b is a tetrahedron ( but not both );WB;26

PImpl (PAtom (AKind Cube (IVar (VString "a")))) (PBimpl (PConj COr (PAtom (AKind Prime (IVar (VString "a")))) (PAtom (AKind Tet (IVar (VString "a"))))) (PBimpl (PAtom (AKind Dodec (IVar (VString "b")))) (PAtom (AKind Dodec (IVar (VString "c"))))));if a is a cube , then a is a prime or a is a tetrahedron precisely when b is a dodecahedron precisely when c is a dodecahedron;NWB;27

PConj CAnd (PImpl (PAtom (AKind Person (IVar (VString "a")))) (PAtom (AKind Dodec (IVar (VString "b"))))) (PNeg (PBimpl (PAtom (AKind Person (IVar (VString "c")))) (PAtom (AKind Cube (IVar (VString "d"))))));all these hold : \item if a is a person , then b is a dodecahedron \item either c is a person or d is a cube ( but not both );WB;26

PBimpl (PConj COr (PAtom (AKind Student (IVar (VString "a")))) (PBimpl (PAtom (AKind Pet (IVar (VString "b")))) (PAtom (AKind Pet (IVar (VString "c")))))) (PImpl (PNeg (PConj CAnd (PNeg (PAtom (AKind Prime (IVar (VString "b"))))) (PAtom (AKind Pet (IVar (VString "a")))))) (PAtom (AKind Pet (IVar (VString "c")))));at least one of these holds : \item a is a student \item b is a pet precisely when c is a pet precisely when c is a pet unless b is not a prime and a is a pet;NWB;37

PBimpl (PAtom (AKind Pet (IVar (VString "a")))) (PConj CAnd (PAtom (AKind Student (IVar (VString "b")))) (PNeg (PAtom (AKind Cube (IVar (VString "c"))))));a is a pet precisely when b is a student and c is not a cube;WB;16

PConj CAnd (PAtom (AKind Pet (IVar (VString "a")))) (PBimpl (PAtom (AKind Dodec (IVar (VString "b")))) (PImpl (PAtom (AKind Dodec (IVar (VString "b")))) (PAtom (AKind Tet (IVar (VString "b"))))));all these hold : \item a is a pet \item b is a dodecahedron precisely when if b is a dodecahedron , then b is a tetrahedron;WB;23

PBimpl (PImpl (PAtom (AKind Prime (IVar (VString "b")))) (PAtom (AKind Person (IVar (VString "a"))))) (PNeg (PBimpl (PAtom (AKind Student (IVar (VString "a")))) (PAtom (AKind Tet (IVar (VString "b"))))));if b is a prime , then a is a person precisely when either a is a student or b is a tetrahedron ( but not both );NWB;25

PConj CAnd (PConj COr (PConj COr (PNeg (PAtom (AKind Pet (IVar (VString "a"))))) (PAtom (AKind Tet (IVar (VString "b"))))) (PConj COr (PNeg (PAtom (AKind Student (IVar (VString "c"))))) (PAtom (AKind Person (IVar (VString "b")))))) (PConj COr (PNeg (PAtom (AKind Person (IVar (VString "c"))))) (PNeg (PAtom (AKind Cube (IVar (VString "b"))))));all these hold : \item a is not a pet , b is a tetrahedron , c is not a student or b is a person \item c is not a person or b is not a cube;WB;33

PNeg (PBimpl (PImpl (PAtom (AKind Dodec (IVar (VString "a")))) (PAtom (AKind Prime (IVar (VString "b"))))) (PImpl (PAtom (AKind Dodec (IVar (VString "b")))) (PAtom (AKind Person (IVar (VString "b"))))));it is not the case that if a is a dodecahedron , then b is a prime precisely when if b is a dodecahedron , then b is a person;WB;28

PImpl (PNeg (PAtom (AKind Pet (IVar (VString "b"))))) (PBimpl (PBimpl (PAtom (AKind Cube (IVar (VString "a")))) (PAtom (AKind Person (IVar (VString "a"))))) (PBimpl (PAtom (AKind Pet (IVar (VString "a")))) (PAtom (AKind Person (IVar (VString "a"))))));a is a cube precisely when a is a person precisely when a is a pet precisely when a is a person unless b is a pet;NWB;27

PBimpl (PAtom (AKind Tet (IVar (VString "a")))) (PImpl (PNeg (PConj CAnd (PNeg (PAtom (AKind Student (IVar (VString "c"))))) (PAtom (AKind Prime (IVar (VString "b")))))) (PBimpl (PAtom (AKind Person (IVar (VString "a")))) (PAtom (AKind Prime (IVar (VString "c"))))));a is a tetrahedron precisely when a is a person precisely when c is a prime unless c is not a student and b is a prime;NWB;27

PBimpl (PBimpl (PBimpl (PAtom (AKind Dodec (IVar (VString "a")))) (PAtom (AKind Tet (IVar (VString "b"))))) (PImpl (PAtom (AKind Pet (IVar (VString "a")))) (PAtom (AKind Dodec (IVar (VString "c")))))) (PAtom (AKind Pet (IVar (VString "d"))));a is a dodecahedron precisely when b is a tetrahedron precisely when if a is a pet , then c is a dodecahedron precisely when d is a pet;NWB;28


