reference,formula
A is a tetrahedron only if it is in front of B,"~ Tet ( a ) | FrontOf ( a , b )"
A is a tetrahedron only if it is in front of B,"Tet ( a ) $ ( Tet ( a ) & FrontOf ( a , b ) )"
A is a tetrahedron only if it is in front of B,"~ ( ~ FrontOf ( a , b ) & Tet ( a ) )"
A is a tetrahedron only if it is in front of B,"( FrontOf ( a , b ) $ Tet ( a ) ) $ ( ~ FrontOf ( a , b ) $ ~ Tet ( a ) )"
A is a tetrahedron only if it is in front of B,"~ ( Tet ( a ) & FrontOf ( a , b ) ) $ ~ Tet ( a )"
A is large if and only if it's a cube,( Cube ( a ) & Large ( a ) ) | ( ~ Cube ( a ) & ~ Large ( a ) )
A is large if and only if it's a cube,( Cube ( a ) $ Large ( a ) ) & ( ~ Cube ( a ) $ ~ Large ( a ) )
A is large if and only if it's a cube,( Large ( a ) & Cube ( a ) ) | ( ~ Cube ( a ) & ~ Large ( a ) )
A is large if and only if it's a cube,( Large ( a ) | Cube ( a ) ) $ ( Large ( a ) & Cube ( a ) )
A is large if and only if it's a cube,( Cube ( a ) $ Large ( a ) ) & ( Large ( a ) $ Cube ( a ) )
A is large if and only if it's a cube,( Large ( a ) $ Cube ( a ) ) & ( ~ Large ( a ) $ ~ Cube ( a ) )
A is large if and only if it's a cube,( Large ( a ) & Cube ( a ) ) | ( ~ Large ( a ) & ~ Cube ( a ) )
A is large if and only if it's a cube,( ~ Large ( a ) | Cube ( a ) ) & ( ~ Cube ( a ) | Large ( a ) )
A is large if and only if it's a cube,( ~ Cube ( a ) $ ~ Large ( a ) ) & ( Cube ( a ) $ Large ( a ) )
A is large if and only if it's a cube,( Large ( a ) $ Cube ( a ) ) & ( Cube ( a ) $ Large ( a ) )
A is large if and only if it's a cube,( ~ Large ( a ) | Cube ( a ) ) & ( Large ( a ) | ~ Cube ( a ) )
A is large if and only if it's a cube,( Large ( a ) & Cube ( a ) ) | ~ ( Large ( a ) | Cube ( a ) )
A is large just in case D is small,( ~ Large ( a ) | Small ( d ) ) & ( ~ Small ( d ) | Large ( a ) )
A is large just in case D is small,( Large ( a ) | Small ( d ) ) $ ( Large ( a ) & Small ( d ) )
A is large just in case D is small,( Small ( d ) $ Large ( a ) ) & ( Large ( a ) $ Small ( d ) )
A is large just in case D is small,( Small ( d ) $ Large ( a ) ) & ( ~ Small ( d ) $ ~ Large ( a ) )
A is large just in case D is small,( ~ Small ( d ) $ ~ Large ( a ) ) & ( Small ( d ) $ Large ( a ) )
A is large just in case D is small,( ~ Small ( d ) | Large ( a ) ) & ( Small ( d ) | ~ Large ( a ) )
A is large just in case D is small,( Small ( d ) & Large ( a ) ) | ( ~ Small ( d ) & ~ Large ( a ) )
A is large just in case D is small,( Large ( a ) & Small ( d ) ) | ~ ( Large ( a ) | Small ( d ) )
A is large just in case D is small,( Large ( a ) & Small ( d ) ) | ( ~ Large ( a ) & ~ Small ( d ) )
A is large just in case D is small,( Large ( a ) & Small ( d ) ) | ( ~ Small ( d ) & ~ Large ( a ) )
A is large just in case D is small,( Large ( a ) $ Small ( d ) ) & ( ~ Large ( a ) $ ~ Small ( d ) )
A is large just in case D is small,( ~ Large ( a ) | Small ( d ) ) & ( Large ( a ) | ~ Small ( d ) )
A is large just in case D is small,( Large ( a ) $ Small ( d ) ) & ( Small ( d ) $ Large ( a ) )
A is large just in case E is,( ~ Large ( e ) | Large ( a ) ) & ( Large ( e ) | ~ Large ( a ) )
A is large just in case E is,( Large ( a ) $ Large ( e ) ) & ( Large ( e ) $ Large ( a ) )
A is large just in case E is,( ~ Large ( a ) | Large ( e ) ) & ( ~ Large ( e ) | Large ( a ) )
A is large just in case E is,( Large ( e ) | Large ( a ) ) $ ( Large ( a ) & Large ( e ) )
A is large just in case E is,( Large ( a ) & Large ( e ) ) | ( ~ Large ( e ) & ~ Large ( a ) )
A is large just in case E is,( Large ( e ) $ Large ( a ) ) & ( Large ( a ) $ Large ( e ) )
A is large just in case E is,( ~ Large ( e ) $ ~ Large ( a ) ) & ( Large ( e ) $ Large ( a ) )
A is large just in case E is,( Large ( e ) $ Large ( a ) ) & ( ~ Large ( e ) $ ~ Large ( a ) )
A is large just in case E is,( Large ( e ) & Large ( a ) ) | ( ~ Large ( e ) & ~ Large ( a ) )
A is large just in case E is,( Large ( a ) $ Large ( e ) ) & ( ~ Large ( a ) $ ~ Large ( e ) )
A is large just in case E is,( Large ( a ) & Large ( e ) ) | ( ~ Large ( a ) & ~ Large ( e ) )
A is smaller than E,"Smaller ( a , e ) | Larger ( e , a )"
A is smaller than E,"Larger ( e , a )"
A is smaller than E,"Smaller ( a , e )"
A is to the left of or right of D only if it's a cube,"~ Cube ( a ) $ ~ ( LeftOf ( a , d ) | RightOf ( a , d ) )"
A is to the left of or right of D only if it's a cube,"~ SameCol ( d , a ) $ Cube ( a )"
A is to the left of or right of D only if it's a cube,"~ ( LeftOf ( a , d ) | RightOf ( a , d ) ) | Cube ( a )"
A is to the left of or right of D only if it's a cube,"( ~ LeftOf ( a , d ) $ RightOf ( a , d ) ) $ Cube ( a )"
A is to the left of or right of D only if it's a cube,"( LeftOf ( a , d ) $ Cube ( a ) ) & ( RightOf ( a , d ) $ Cube ( a ) )"
A is to the left of or right of D only if it's a cube,"( LeftOf ( d , a ) | LeftOf ( a , d ) ) $ Cube ( a )"
A is to the left of or right of D only if it's a cube,"( LeftOf ( a , d ) | RightOf ( a , d ) ) $ Cube ( a )"
A is to the left of or right of D only if it's a cube,"( RightOf ( a , d ) | LeftOf ( a , d ) ) $ Cube ( a )"
A is to the left of or right of D only if it's a cube,"( RightOf ( a , d ) $ Cube ( a ) ) & ( LeftOf ( a , d ) $ Cube ( a ) )"
A is to the left of or right of D only if it's a cube,"~ Cube ( a ) $ ~ ( LeftOf ( a , d ) | LeftOf ( d , a ) )"
A is to the left of or right of D only if it's a cube,"SameCol ( a , d ) | Cube ( a )"
A is to the left of or right of D only if it's a cube,"Cube ( a ) | ( ~ Cube ( a ) & SameCol ( a , d ) )"
A is to the left of or right of D only if it's a cube,"( LeftOf ( d , a ) | RightOf ( d , a ) ) $ Cube ( a )"
A is to the left of or right of D only if it's a cube,"~ Cube ( a ) $ SameCol ( a , d )"
A is to the left of or right of D only if it's a cube,"~ Cube ( a ) $ ~ ( RightOf ( a , d ) | LeftOf ( a , d ) )"
A is to the left of or right of D only if it's a cube,"( LeftOf ( a , d ) | LeftOf ( d , a ) ) $ Cube ( a )"
A is to the left of or right of D only if it's a cube,"( RightOf ( d , a ) | LeftOf ( d , a ) ) $ Cube ( a )"
A is to the left of or right of D only if it's a cube,"~ Cube ( a ) $ ~ ( LeftOf ( d , a ) | RightOf ( d , a ) )"
A is to the left of or right of D only if it's a cube,"Cube ( a ) | ~ ( LeftOf ( a , d ) | RightOf ( a , d ) )"
A is to the left of or right of D only if it's a cube,"~ SameCol ( a , d ) $ Cube ( a )"
A is to the left of or right of D only if it's a cube,"~ Cube ( a ) $ ( ~ LeftOf ( a , d ) & ~ RightOf ( a , d ) )"
"At least one of A, C, and E is a cube",Cube ( c ) | Cube ( e ) | Cube ( a )
"At least one of A, C, and E is a cube",Cube ( a ) | Cube ( c ) | Cube ( a ) | Cube ( e )
"At least one of A, C, and E is a cube",Cube ( a ) | ( Cube ( c ) & ~ Cube ( a ) ) | ( Cube ( e ) & ~ Cube ( c ) )
"At least one of A, C, and E is a cube",( ~ Cube ( c ) & ~ Cube ( e ) ) $ Cube ( a )
"At least one of A, C, and E is a cube",( ~ Cube ( a ) & ~ Cube ( c ) & ~ Cube ( e ) ) $ ( Cube ( a ) & Cube ( c ) & Cube ( e ) )
"At least one of A, C, and E is a cube",~ ( Cube ( a ) | Cube ( c ) ) $ ( Cube ( c ) | Cube ( e ) )
"At least one of A, C, and E is a cube",~ Cube ( a ) $ ( Cube ( c ) | ( ~ Cube ( c ) $ Cube ( e ) ) )
"At least one of A, C, and E is a cube",Cube ( a ) | Cube ( c ) | Cube ( a ) | Cube ( e ) | Cube ( c ) | Cube ( e )
"At least one of A, C, and E is a cube",~ ( Cube ( a ) | Cube ( c ) | Cube ( e ) ) $ ( Cube ( a ) | Cube ( c ) | Cube ( e ) )
"At least one of A, C, and E is a cube",( ~ Cube ( a ) & ~ Cube ( c ) & ~ Cube ( e ) ) $ ( Cube ( a ) | Cube ( c ) | Cube ( e ) )
"At least one of A, C, and E is a cube",( ~ Cube ( a ) | ~ Cube ( c ) | ~ Cube ( e ) ) $ ( Cube ( a ) | Cube ( c ) | Cube ( e ) )
"At least one of A, C, and E is a cube",~ ( Cube ( a ) | Cube ( c ) | Cube ( e ) ) $ ( Cube ( a ) & Cube ( b ) & Cube ( e ) )
"At least one of A, C, and E is a cube",~ ~ ( Cube ( a ) | Cube ( c ) | Cube ( e ) )
"At least one of A, C, and E is a cube",~ ( Cube ( a ) & Cube ( c ) & Cube ( e ) ) $ ( Cube ( a ) | Cube ( c ) | Cube ( e ) )
"At least one of A, C, and E is a cube",~ ( Cube ( c ) | Cube ( e ) ) $ Cube ( a )
"At least one of A, C, and E is a cube",~ ( ~ Cube ( a ) & ~ Cube ( e ) & ~ Cube ( c ) )
"At least one of A, C, and E is a cube",( ~ Cube ( a ) & ~ Cube ( c ) ) $ Cube ( e )
"At least one of A, C, and E is a cube",( ~ Cube ( c ) & ~ Cube ( a ) ) $ Cube ( e )
"At least one of A, C, and E is a cube",Cube ( a ) | Cube ( c ) | Cube ( c ) | Cube ( e )
"At least one of A, C, and E is a cube",( ~ Cube ( a ) $ Cube ( c ) ) | ( ~ Cube ( c ) $ Cube ( e ) )
"At least one of A, C, and E is a cube",~ Cube ( e ) $ ( Cube ( a ) | Cube ( c ) )
"At least one of A, C, and E is a cube",( Cube ( a ) | Cube ( c ) | Cube ( e ) ) & ( Cube ( a ) | Cube ( c ) | Cube ( e ) )
"At least one of A, C, and E is a cube",( Cube ( a ) | Cube ( e ) | Cube ( c ) ) & ~ ( ~ Cube ( a ) & ~ Cube ( c ) & ~ Cube ( e ) )
"At least one of A, C, and E is a cube",Cube ( e ) | Cube ( a ) | Cube ( c )
"At least one of A, C, and E is a cube",~ Cube ( a ) $ ( Cube ( c ) | Cube ( e ) )
"At least one of A, C, and E is a cube",Cube ( a ) | Cube ( a ) | Cube ( c ) | Cube ( a ) | Cube ( c ) | Cube ( e )
"At least one of A, C, and E is a cube",( ~ Cube ( a ) $ Cube ( c ) ) | ( ~ Cube ( c ) $ Cube ( e ) ) | ( ~ Cube ( c ) $ Cube ( a ) )
"At least one of A, C, and E is a cube",~ Cube ( e ) $ ( ~ Cube ( c ) $ Cube ( a ) )
"At least one of A, C, and E is a cube",~ Cube ( a ) $ ~ ( ~ Cube ( c ) & ~ Cube ( e ) )
"At least one of A, C, and E is a cube",~ ( Cube ( a ) | Cube ( e ) ) $ Cube ( c )
"At least one of A, C, and E is a cube",( ~ Cube ( a ) $ Cube ( c ) ) | ( ~ Cube ( c ) $ Cube ( e ) ) | ( ~ Cube ( e ) $ Cube ( a ) )
"At least one of A, C, and E is a cube",( Cube ( a ) | Cube ( c ) | Cube ( e ) ) & ~ ( ~ Cube ( a ) & ~ Cube ( c ) & ~ Cube ( e ) )
"At least one of A, C, and E is a cube",Cube ( c ) | Cube ( a ) | Cube ( e )
"At least one of A, C, and E is a cube",Cube ( e ) | Cube ( c ) | Cube ( a )
"At least one of A, C, and E is a cube",~ Cube ( a ) $ ( Cube ( e ) | Cube ( c ) )
"At least one of A, C, and E is a cube",Cube ( a ) | Cube ( c ) | Cube ( e )
"At least one of A, C, and E is a cube",~ Cube ( a ) $ ( ~ Cube ( c ) $ Cube ( e ) )
"At least one of A, C, and E is a cube",( ~ Cube ( a ) $ Cube ( c ) ) | ( ~ Cube ( a ) $ Cube ( e ) )
"At least one of A, C, and E is a cube",~ Cube ( c ) $ ( Cube ( a ) | Cube ( e ) )
"At least one of A, C, and E is a cube",~ ( Cube ( a ) | Cube ( c ) ) $ Cube ( e )
"At least one of A, C, and E is a cube",( ( Cube ( a ) $ Cube ( e ) ) $ Cube ( c ) ) | ( ( Cube ( c ) $ Cube ( a ) ) $ Cube ( e ) )
"At least one of A, C, and E is a cube",Cube ( a ) | Cube ( e ) | Cube ( c )
"At least one of A, C, and E is a cube",~ ( ~ Cube ( a ) & ~ Cube ( c ) & ~ Cube ( e ) )
"At least one of A, C, and E is a cube",~ ( ~ Cube ( a ) $ Cube ( e ) ) $ ( ~ Cube ( c ) $ Cube ( e ) )
"At least one of A, C, and E is a cube",~ ( ~ Cube ( a ) $ Cube ( c ) ) $ Cube ( e )
B is a cube unless C is a tetrahedron,( Cube ( b ) & ~ Tet ( c ) ) | Tet ( c )
B is a cube unless C is a tetrahedron,~ Cube ( b ) $ Tet ( c )
B is a cube unless C is a tetrahedron,Tet ( c ) | Cube ( b )
B is a cube unless C is a tetrahedron,( Cube ( b ) & Tet ( c ) ) | ( Cube ( b ) & ~ Tet ( c ) ) | ( ~ Cube ( b ) & Tet ( c ) )
B is a cube unless C is a tetrahedron,( ~ Cube ( b ) $ Tet ( c ) ) & ( ~ Tet ( c ) $ Cube ( b ) )
B is a cube unless C is a tetrahedron,Cube ( b ) | Tet ( c )
B is a cube unless C is a tetrahedron,Cube ( b ) | ( Tet ( c ) & ~ Cube ( b ) )
B is a cube unless C is a tetrahedron,~ Cube ( b ) $ ~ ~ Tet ( c )
B is a cube unless C is a tetrahedron,~ Tet ( c ) $ ~ ~ Cube ( b )
B is a cube unless C is a tetrahedron,( ~ Cube ( b ) $ Tet ( c ) ) | ( ~ Tet ( c ) $ Cube ( b ) )
B is a cube unless C is a tetrahedron,~ ( ~ Tet ( c ) & ~ Cube ( b ) )
B is a cube unless C is a tetrahedron,~ ~ Tet ( c ) | Cube ( b )
B is a cube unless C is a tetrahedron,Cube ( b ) | ( ~ Cube ( b ) & Tet ( c ) )
B is a cube unless C is a tetrahedron,( Cube ( b ) | Tet ( c ) ) & ( ~ Cube ( b ) $ Tet ( c ) )
B is a cube unless C is a tetrahedron,( ~ Tet ( c ) $ Cube ( b ) ) & ( ~ Cube ( b ) $ Tet ( c ) )
B is a cube unless C is a tetrahedron,~ Tet ( c ) $ Cube ( b )
B is a tetrahedron,Tet ( b )
B is a tetrahedron only if it is small,Small ( b ) | ~ Tet ( b )
B is a tetrahedron only if it is small,Tet ( b ) $ Small ( b )
B is a tetrahedron only if it is small,( Tet ( b ) $ Small ( b ) ) | ~ Tet ( b )
B is a tetrahedron only if it is small,~ Small ( b ) $ ~ Tet ( b )
B is a tetrahedron only if it is small,~ Tet ( b ) | Small ( b )
B is a tetrahedron only if it is small,Tet ( b ) $ ( Tet ( b ) & Small ( b ) )
B is a tetrahedron only if it is small,( Tet ( b ) $ Small ( b ) ) & ( ~ Small ( b ) $ ~ Tet ( b ) )
"B is a tetrahedron, then C isn't",Tet ( b ) $ ~ Tet ( c )
"B is a tetrahedron, then C isn't",~ ( Tet ( b ) & Tet ( c ) )
"B is a tetrahedron, then C isn't",Tet ( b ) $ ( Tet ( b ) & ~ Tet ( c ) )
"B is a tetrahedron, then C isn't",~ Tet ( b ) | ~ Tet ( c )
"B is a tetrahedron, then C isn't",( Tet ( b ) & ~ Tet ( c ) ) | ~ Tet ( b )
"B is a tetrahedron, then C isn't",~ ~ Tet ( c ) $ ~ Tet ( b )
"B is a tetrahedron, then C isn't",Tet ( c ) $ ~ Tet ( b )
"B is in the same column as E, which is in the same row as D, which in turn is in the same column as A","SameCol ( b , e ) & SameRow ( d , e ) & SameCol ( a , d )"
"B is in the same column as E, which is in the same row as D, which in turn is in the same column as A","~ ~ SameCol ( b , e ) & SameRow ( e , d ) & SameCol ( d , a )"
"B is in the same column as E, which is in the same row as D, which in turn is in the same column as A","SameCol ( e , b ) & SameRow ( e , d ) & SameCol ( d , a )"
"B is in the same column as E, which is in the same row as D, which in turn is in the same column as A","SameCol ( b , e ) & SameRow ( d , e ) & SameRow ( e , d ) & SameCol ( d , a )"
"B is in the same column as E, which is in the same row as D, which in turn is in the same column as A","~ ~ ( SameCol ( b , e ) & SameRow ( e , d ) & SameCol ( a , d ) )"
"B is in the same column as E, which is in the same row as D, which in turn is in the same column as A","SameCol ( a , d ) & SameRow ( d , e ) & SameCol ( b , e )"
"B is in the same column as E, which is in the same row as D, which in turn is in the same column as A","SameRow ( d , e ) & SameCol ( d , a ) & SameCol ( b , e )"
"B is in the same column as E, which is in the same row as D, which in turn is in the same column as A","SameCol ( e , b ) & SameRow ( d , e ) & SameCol ( a , d )"
"B is in the same column as E, which is in the same row as D, which in turn is in the same column as A","SameCol ( a , d ) & SameRow ( e , d ) & SameCol ( b , e )"
"B is in the same column as E, which is in the same row as D, which in turn is in the same column as A","SameCol ( b , e ) & SameCol ( a , d ) & SameRow ( d , e )"
"B is in the same column as E, which is in the same row as D, which in turn is in the same column as A","SameRow ( e , d ) & SameCol ( b , e ) & SameCol ( d , a )"
"B is in the same column as E, which is in the same row as D, which in turn is in the same column as A","SameCol ( e , b ) & SameRow ( e , d ) & SameCol ( a , d )"
"B is in the same column as E, which is in the same row as D, which in turn is in the same column as A","SameCol ( b , e ) & SameRow ( e , d ) & SameRow ( e , d ) & SameCol ( d , a )"
"B is in the same column as E, which is in the same row as D, which in turn is in the same column as A","SameCol ( d , a ) & SameRow ( e , d ) & SameCol ( e , b )"
"B is in the same column as E, which is in the same row as D, which in turn is in the same column as A","SameCol ( e , b ) & SameCol ( d , a ) & SameRow ( d , e )"
"B is in the same column as E, which is in the same row as D, which in turn is in the same column as A","SameCol ( d , a ) & SameCol ( b , e ) & SameRow ( d , e )"
"B is in the same column as E, which is in the same row as D, which in turn is in the same column as A","SameCol ( b , e ) & SameCol ( a , d ) & SameRow ( e , d )"
"B is in the same column as E, which is in the same row as D, which in turn is in the same column as A","SameCol ( d , a ) & SameRow ( d , e ) & SameCol ( e , b )"
"B is in the same column as E, which is in the same row as D, which in turn is in the same column as A","SameCol ( d , a ) & SameCol ( b , e ) & SameRow ( e , d )"
"B is in the same column as E, which is in the same row as D, which in turn is in the same column as A","SameRow ( e , d ) & SameCol ( d , a ) & SameCol ( b , e )"
"B is in the same column as E, which is in the same row as D, which in turn is in the same column as A","SameCol ( a , d ) & SameCol ( b , e ) & SameRow ( e , d )"
"B is in the same column as E, which is in the same row as D, which in turn is in the same column as A","SameCol ( b , e ) & SameCol ( d , a ) & SameRow ( d , e )"
"B is in the same column as E, which is in the same row as D, which in turn is in the same column as A","SameCol ( e , b ) & SameRow ( d , e ) & SameCol ( d , a )"
"B is in the same column as E, which is in the same row as D, which in turn is in the same column as A","SameCol ( d , a ) & SameRow ( d , e ) & SameCol ( b , e )"
"B is in the same column as E, which is in the same row as D, which in turn is in the same column as A","SameCol ( a , d ) & SameCol ( b , e ) & SameRow ( d , e )"
