PBimpl (PNeg (PAtom (AKind Dodec (IVar (VString "a"))))) (PAtom (AKind Pet (IVar (VString "b"))));a is not a dodecahedron if and only if b is a pet;13
PImpl (PBimpl (PBimpl (PAtom (AKind Prime (IVar (VString "a")))) (PAtom (AKind Pet (IVar (VString "b"))))) (PBimpl (PAtom (AKind Prime (IVar (VString "c")))) (PAtom (AKind Tet (IVar (VString "c")))))) (PNeg (PBimpl (PAtom (AKind Pet (IVar (VString "d")))) (PAtom (AKind Pet (IVar (VString "e"))))));if a is a prime if and only if b is a pet if and only if c is a prime if and only if c is a tetrahedron , then it is not the case that d is a pet if and only if e is a pet;48

PConj CAnd (PNeg (PBimpl (PAtom (AKind Prime (IVar (VString "a")))) (PAtom (AKind Person (IVar (VString "a")))))) (PImpl (PConj COr (PAtom (AKind Tet (IVar (VString "a")))) (PAtom (AKind Cube (IVar (VString "b"))))) (PImpl (PAtom (AKind Tet (IVar (VString "c")))) (PAtom (AKind Cube (IVar (VString "d"))))));all these hold : \item it is not the case that a is a prime if and only if a is a person \item if a is a tetrahedron or b is a cube , then if c is a tetrahedron , then d is a cube;42

PBimpl (PConj COr (PBimpl (PAtom (AKind Tet (IVar (VString "a")))) (PAtom (AKind Cube (IVar (VString "b"))))) (PBimpl (PAtom (AKind Dodec (IVar (VString "c")))) (PAtom (AKind Pet (IVar (VString "d")))))) (PAtom (AKind Student (IVar (VString "b"))));at least one of these holds : \item a is a tetrahedron if and only if b is a cube \item c is a dodecahedron if and only if d is a pet if and only if b is a student;38

PImpl (PConj CAnd (PAtom (AKind Tet (IVar (VString "b")))) (PAtom (AKind Person (IVar (VString "a"))))) (PAtom (AKind Dodec (IVar (VString "c"))));if b is a tetrahedron and a is a person , then c is a dodecahedron;15

PBimpl (PImpl (PBimpl (PAtom (AKind Student (IVar (VString "a")))) (PAtom (AKind Prime (IVar (VString "a"))))) (PBimpl (PAtom (AKind Prime (IVar (VString "a")))) (PAtom (AKind Tet (IVar (VString "a")))))) (PConj CAnd (PNeg (PAtom (AKind Pet (IVar (VString "b"))))) (PNeg (PAtom (AKind Tet (IVar (VString "b"))))));if a is a student if and only if a is a prime , then a is a prime if and only if a is a tetrahedron if and only if b is not a pet and b is not a tetrahedron;41

PConj COr (PAtom (AKind Prime (IVar (VString "a")))) (PBimpl (PBimpl (PAtom (AKind Cube (IVar (VString "a")))) (PAtom (AKind Pet (IVar (VString "b"))))) (PImpl (PAtom (AKind Prime (IVar (VString "c")))) (PAtom (AKind Dodec (IVar (VString "a"))))));at least one of these holds : \item a is a prime \item a is a cube if and only if b is a pet if and only if if c is a prime , then a is a dodecahedron;36

PImpl (PConj CAnd (PNeg (PAtom (AKind Prime (IVar (VString "b"))))) (PAtom (AKind Prime (IVar (VString "a"))))) (PBimpl (PAtom (AKind Person (IVar (VString "a")))) (PAtom (AKind Prime (IVar (VString "b")))));if b is not a prime and a is a prime , then a is a person if and only if b is a prime;24

PConj CAnd (PConj CAnd (PAtom (AKind Pet (IVar (VString "a")))) (PNeg (PAtom (AKind Tet (IVar (VString "a")))))) (PNeg (PBimpl (PAtom (AKind Prime (IVar (VString "a")))) (PAtom (AKind Student (IVar (VString "b"))))));a is a pet , a is not a tetrahedron and it is not the case that a is a prime if and only if b is a student;28

PBimpl (PAtom (AKind Cube (IVar (VString "a")))) (PImpl (PBimpl (PAtom (AKind Dodec (IVar (VString "a")))) (PAtom (AKind Prime (IVar (VString "b"))))) (PAtom (AKind Tet (IVar (VString "b")))));a is a cube if and only if if a is a dodecahedron if and only if b is a prime , then b is a tetrahedron;26

PBimpl (PAtom (AKind Prime (IVar (VString "a")))) (PBimpl (PImpl (PAtom (AKind Person (IVar (VString "b")))) (PAtom (AKind Pet (IVar (VString "a"))))) (PNeg (PAtom (AKind Pet (IVar (VString "c"))))));a is a prime if and only if if b is a person , then a is a pet if and only if c is not a pet;27

PBimpl (PConj CAnd (PNeg (PAtom (AKind Tet (IVar (VString "a"))))) (PBimpl (PAtom (AKind Cube (IVar (VString "a")))) (PAtom (AKind Dodec (IVar (VString "b")))))) (PAtom (AKind Cube (IVar (VString "a"))));all these hold : \item a is not a tetrahedron \item a is a cube if and only if b is a dodecahedron if and only if a is a cube;28

PImpl (PBimpl (PAtom (AKind Tet (IVar (VString "a")))) (PAtom (AKind Person (IVar (VString "a"))))) (PImpl (PBimpl (PAtom (AKind Pet (IVar (VString "b")))) (PAtom (AKind Cube (IVar (VString "c"))))) (PAtom (AKind Tet (IVar (VString "c")))));if a is a tetrahedron if and only if a is a person , then if b is a pet if and only if c is a cube , then c is a tetrahedron;32

PBimpl (PImpl (PConj COr (PAtom (AKind Dodec (IVar (VString "a")))) (PAtom (AKind Dodec (IVar (VString "b"))))) (PAtom (AKind Dodec (IVar (VString "a"))))) (PAtom (AKind Pet (IVar (VString "b"))));if a is a dodecahedron or b is a dodecahedron , then a is a dodecahedron if and only if b is a pet;23

PImpl (PConj CAnd (PImpl (PAtom (AKind Person (IVar (VString "a")))) (PAtom (AKind Student (IVar (VString "b"))))) (PConj CAnd (PAtom (AKind Student (IVar (VString "c")))) (PAtom (AKind Tet (IVar (VString "d")))))) (PAtom (AKind Cube (IVar (VString "d"))));if all these hold : \item if a is a person , then b is a student , c is a student \item d is a tetrahedron , then d is a cube;27

PImpl (PAtom (AKind Cube (IVar (VString "a")))) (PBimpl (PAtom (AKind Student (IVar (VString "b")))) (PAtom (AKind Prime (IVar (VString "c")))));if a is a cube , then b is a student if and only if c is a prime;18

PImpl (PImpl (PAtom (AKind Cube (IVar (VString "a")))) (PAtom (AKind Pet (IVar (VString "b"))))) (PNeg (PBimpl (PAtom (AKind Cube (IVar (VString "b")))) (PAtom (AKind Person (IVar (VString "b"))))));if if a is a cube , then b is a pet , then it is not the case that b is a cube if and only if b is a person;30

PConj CAnd (PConj CAnd (PNeg (PAtom (AKind Prime (IVar (VString "a"))))) (PNeg (PAtom (AKind Person (IVar (VString "a")))))) (PConj CAnd (PNeg (PAtom (AKind Student (IVar (VString "b"))))) (PNeg (PAtom (AKind Prime (IVar (VString "b"))))));a is not a prime , a is not a person , b is not a student and b is not a prime;21

PConj COr (PBimpl (PBimpl (PAtom (AKind Pet (IVar (VString "a")))) (PAtom (AKind Person (IVar (VString "a"))))) (PBimpl (PAtom (AKind Cube (IVar (VString "b")))) (PAtom (AKind Tet (IVar (VString "b")))))) (PAtom (AKind Tet (IVar (VString "a"))));at least one of these holds : \item a is a pet if and only if a is a person if and only if b is a cube if and only if b is a tetrahedron \item a is a tetrahedron;38

PBimpl (PImpl (PAtom (AKind Prime (IVar (VString "a")))) (PBimpl (PAtom (AKind Person (IVar (VString "a")))) (PAtom (AKind Cube (IVar (VString "b")))))) (PAtom (AKind Tet (IVar (VString "c"))));if a is a prime , then a is a person if and only if b is a cube if and only if c is a tetrahedron;26

PImpl (PBimpl (PAtom (AKind Person (IVar (VString "a")))) (PBimpl (PAtom (AKind Prime (IVar (VString "a")))) (PAtom (AKind Dodec (IVar (VString "b")))))) (PConj COr (PAtom (AKind Student (IVar (VString "c")))) (PNeg (PAtom (AKind Cube (IVar (VString "a"))))));if a is a person if and only if a is a prime if and only if b is a dodecahedron , then c is a student or a is not a cube;32

PConj COr (PBimpl (PBimpl (PAtom (AKind Pet (IVar (VString "a")))) (PAtom (AKind Student (IVar (VString "a"))))) (PNeg (PAtom (AKind Cube (IVar (VString "a")))))) (PBimpl (PNeg (PAtom (AKind Dodec (IVar (VString "a"))))) (PBimpl (PAtom (AKind Pet (IVar (VString "a")))) (PAtom (AKind Student (IVar (VString "b"))))));at least one of these holds : \item a is a pet if and only if a is a student if and only if a is not a cube \item a is not a dodecahedron if and only if a is a pet if and only if b is a student;48

PNeg (PImpl (PNeg (PAtom (AKind Person (IVar (VString "a"))))) (PBimpl (PAtom (AKind Tet (IVar (VString "b")))) (PAtom (AKind Prime (IVar (VString "c"))))));it is not the case that if a is not a person , then b is a tetrahedron if and only if c is a prime;25

PBimpl (PAtom (AKind Pet (IVar (VString "a")))) (PAtom (AKind Pet (IVar (VString "b"))));a is a pet if and only if b is a pet;12

PConj COr (PImpl (PImpl (PAtom (AKind Cube (IVar (VString "b")))) (PAtom (AKind Dodec (IVar (VString "c"))))) (PBimpl (PAtom (AKind Dodec (IVar (VString "d")))) (PAtom (AKind Dodec (IVar (VString "b")))))) (PImpl (PAtom (AKind Tet (IVar (VString "a")))) (PAtom (AKind Person (IVar (VString "a")))));at least one of these holds : \item if if b is a cube , then c is a dodecahedron , then d is a dodecahedron if and only if b is a dodecahedron \item if a is a tetrahedron , then a is a person;40

PConj CAnd (PConj CAnd (PAtom (AKind Cube (IVar (VString "a")))) (PAtom (AKind Pet (IVar (VString "a"))))) (PConj CAnd (PAtom (AKind Prime (IVar (VString "a")))) (PNeg (PAtom (AKind Person (IVar (VString "a"))))));a is a cube , a is a pet , a is a prime and a is not a person;18

PBimpl (PImpl (PConj CAnd (PNeg (PAtom (AKind Tet (IVar (VString "a"))))) (PAtom (AKind Tet (IVar (VString "c"))))) (PBimpl (PAtom (AKind Prime (IVar (VString "a")))) (PAtom (AKind Dodec (IVar (VString "b")))))) (PAtom (AKind Dodec (IVar (VString "a"))));if a is not a tetrahedron and c is a tetrahedron , then a is a prime if and only if b is a dodecahedron if and only if a is a dodecahedron;32

PNeg (PNeg (PAtom (AKind Dodec (IVar (VString "b")))));it is not the case that b is not a dodecahedron;11

PConj CAnd (PConj CAnd (PAtom (AKind Pet (IVar (VString "b")))) (PNeg (PAtom (AKind Tet (IVar (VString "c")))))) (PImpl (PImpl (PAtom (AKind Student (IVar (VString "a")))) (PAtom (AKind Pet (IVar (VString "a"))))) (PAtom (AKind Student (IVar (VString "a")))));all these hold : \item b is a pet , c is not a tetrahedron \item if if a is a student , then a is a pet , then a is a student;28

PNeg (PImpl (PImpl (PAtom (AKind Prime (IVar (VString "a")))) (PAtom (AKind Pet (IVar (VString "a"))))) (PBimpl (PAtom (AKind Dodec (IVar (VString "b")))) (PAtom (AKind Tet (IVar (VString "b"))))));it is not the case that if if a is a prime , then a is a pet , then b is a dodecahedron if and only if b is a tetrahedron;30

PImpl (PAtom (AKind Cube (IVar (VString "a")))) (PBimpl (PConj COr (PAtom (AKind Prime (IVar (VString "a")))) (PAtom (AKind Tet (IVar (VString "a"))))) (PBimpl (PAtom (AKind Dodec (IVar (VString "b")))) (PAtom (AKind Dodec (IVar (VString "c"))))));if a is a cube , then a is a prime or a is a tetrahedron if and only if b is a dodecahedron if and only if c is a dodecahedron;31

PNeg (PImpl (PImpl (PAtom (AKind Person (IVar (VString "a")))) (PAtom (AKind Dodec (IVar (VString "b"))))) (PBimpl (PAtom (AKind Person (IVar (VString "c")))) (PAtom (AKind Cube (IVar (VString "d"))))));it is not the case that if if a is a person , then b is a dodecahedron , then c is a person if and only if d is a cube;30

PBimpl (PConj COr (PAtom (AKind Student (IVar (VString "a")))) (PBimpl (PAtom (AKind Pet (IVar (VString "b")))) (PAtom (AKind Pet (IVar (VString "c")))))) (PImpl (PImpl (PAtom (AKind Pet (IVar (VString "a")))) (PAtom (AKind Prime (IVar (VString "b"))))) (PAtom (AKind Pet (IVar (VString "c")))));at least one of these holds : \item a is a student \item b is a pet if and only if c is a pet if and only if if if a is a pet , then b is a prime , then c is a pet;42

PBimpl (PAtom (AKind Pet (IVar (VString "a")))) (PConj CAnd (PAtom (AKind Student (IVar (VString "b")))) (PNeg (PAtom (AKind Cube (IVar (VString "c"))))));a is a pet if and only if b is a student and c is not a cube;18

PConj CAnd (PAtom (AKind Pet (IVar (VString "a")))) (PBimpl (PAtom (AKind Dodec (IVar (VString "b")))) (PImpl (PAtom (AKind Dodec (IVar (VString "b")))) (PAtom (AKind Tet (IVar (VString "b"))))));all these hold : \item a is a pet \item b is a dodecahedron if and only if if b is a dodecahedron , then b is a tetrahedron;25

PBimpl (PImpl (PAtom (AKind Prime (IVar (VString "b")))) (PAtom (AKind Person (IVar (VString "a"))))) (PNeg (PBimpl (PAtom (AKind Student (IVar (VString "a")))) (PAtom (AKind Tet (IVar (VString "b"))))));if b is a prime , then a is a person if and only if it is not the case that a is a student if and only if b is a tetrahedron;32

PConj CAnd (PConj COr (PConj COr (PNeg (PAtom (AKind Pet (IVar (VString "a"))))) (PAtom (AKind Tet (IVar (VString "b"))))) (PConj COr (PNeg (PAtom (AKind Student (IVar (VString "c"))))) (PAtom (AKind Person (IVar (VString "b")))))) (PConj COr (PNeg (PAtom (AKind Person (IVar (VString "c"))))) (PNeg (PAtom (AKind Cube (IVar (VString "b"))))));all these hold : \item a is not a pet , b is a tetrahedron , c is not a student or b is a person \item c is not a person or b is not a cube;33

PNeg (PBimpl (PImpl (PAtom (AKind Dodec (IVar (VString "a")))) (PAtom (AKind Prime (IVar (VString "b"))))) (PImpl (PAtom (AKind Dodec (IVar (VString "b")))) (PAtom (AKind Person (IVar (VString "b"))))));it is not the case that if a is a dodecahedron , then b is a prime if and only if if b is a dodecahedron , then b is a person;30

PImpl (PNeg (PAtom (AKind Pet (IVar (VString "b"))))) (PBimpl (PBimpl (PAtom (AKind Cube (IVar (VString "a")))) (PAtom (AKind Person (IVar (VString "a"))))) (PBimpl (PAtom (AKind Pet (IVar (VString "a")))) (PAtom (AKind Person (IVar (VString "a"))))));if b is not a pet , then a is a cube if and only if a is a person if and only if a is a pet if and only if a is a person;35

PBimpl (PAtom (AKind Tet (IVar (VString "a")))) (PImpl (PImpl (PAtom (AKind Prime (IVar (VString "b")))) (PAtom (AKind Student (IVar (VString "c"))))) (PBimpl (PAtom (AKind Person (IVar (VString "a")))) (PAtom (AKind Prime (IVar (VString "c"))))));a is a tetrahedron if and only if if if b is a prime , then c is a student , then a is a person if and only if c is a prime;32

PBimpl (PBimpl (PBimpl (PAtom (AKind Dodec (IVar (VString "a")))) (PAtom (AKind Tet (IVar (VString "b"))))) (PImpl (PAtom (AKind Pet (IVar (VString "a")))) (PAtom (AKind Dodec (IVar (VString "c")))))) (PAtom (AKind Pet (IVar (VString "d"))));a is a dodecahedron if and only if b is a tetrahedron if and only if if a is a pet , then c is a dodecahedron if and only if d is a pet;34


